31,15000,-2,-13,14,1,96,447,-545,-4125,0,-589,4702,-82,0,0,0
32,15500,1,-14,12,1,1,500,-503,1768,-589,-589,66,0,0,0,0
33,16000,3,-15,10,1,-91,542,-452,4714,-1179,-1179,-4471,115,0,0,0
34,16500,5,-16,9,1,-178,568,-390,8839,-589,-1179,-8811,231,0,0,0
35,17000,7,-16,7,1,-262,580,-317,12374,-1179,-1179,-12985,379,0,0,0
36,17500,9,-16,6,1,-342,580,-238,15910,-1179,-589,-16846,478,0,0,0
37,18000,11,-16,3,1,-410,564,-155,19445,-1768,-1179,-20162,577,0,0,0
38,18500,12,-15,1,1,-467,531,-65,21802,-1179,-1179,-23066,726,0,0,0
39,19000,13,-13,-2,1,-515,486,29,23570,-2357,-1179,-25475,775,0,0,0
40,19500,14,-11,-5,1,-551,431,120,24159,-1768,-1179,-27224,775,0,0,0
41,20000,14,-9,-7,1,-574,366,206,25338,-2946,-1179,-28362,808,0,0,0
42,20500,15,-7,-9,1,-583,292,288,27106,-2357,-589,-28841,825,0,0,0
43,21000,14,-6,-11,1,-577,212,364,26517,-2357,-1768,-28544,775,0,0,0
44,21500,14,-3,-12,1,-556,125,430,25927,-2357,-589,-27471,775,0,0,0
45,22000,12,1,-14,1,-519,32,485,22392,-2357,-589,-25623,759,0,0,0
46,22500,10,2,-15,1,-470,-61,528,18856,-2357,-1768,-23247,709,0,0,0
47,23000,9,5,-15,1,-411,-149,559,16499,-2357,-589,-20343,627,0,0,0
48,23500,7,7,-16,1,-343,-235,577,13553,-2357,-1179,-16961,495,0,0,0
49,24000,6,9,-16,1,-266,-316,582,11196,-1768,-589,-13133,396,0,0,0
50,24500,4,11,-17,1,-185,-384,570,7071,-1768,-1179,-9091,231,0,0,0
51,25000,1,13,-15,1,-97,-446,543,2946,-1768,-589,-4735,66,0,0,0
52,25500,-2,14,-14,1,-2,-500,502,-1768,-1768,-1179,-82,-16,0,0,0
53,26000,-4,14,-12,1,89,-540,450,-7071,-1179,-1179,4455,-132,0,0,0
54,26500,-6,15,-11,1,177,-567,389,-10607,-1179,-1179,8794,-297,0,0,0
55,27000,-8,16,-9,1,262,-581,317,-14142,-589,-589,12952,-429,0,0,0
56,27500,-10,16,-7,1,341,-581,239,-18267,-589,-589,16846,-495,0,0,0
57,28000,-12,16,-5,1,407,-564,156,-21213,0,-589,20178,-643,0,0,0
58,28500,-13,14,-2,1,466,-531,65,-23570,1179,-589,23099,-775,0,0,0
59,29000,-14,12,1,1,515,-487,-29,-25338,0,-589,25491,-841,0,0,0
60,29500,-15,10,3,1,552,-432,-119,-26517,0,-1179,27257,-792,0,0,0
61,30000,-15,9,5,1,575,-368,-207,-27695,589,-589,28362,-808,0,0,0
62,30500,-15,7,7,1,582,-292,-290,-27695,589,-589,28775,-841,0,0,0
63,31000,-16,5,9,1,577,-211,-365,-28874,589,-1179,28511,-742,0,0,0
